Status,Excel Row,Parent Code,Parent Description,Expected RM Code,Excel RM Code Cell,Expected Role,DB Role,Expected Alternate Flag,DB Alternate Flag,Excel Qty Raw,Expected Qty,DB Qty,Excel UOM,DB UOM,Excel RM Description,DB RM Description,DB items.material,DB RM Item Type,DB RM Size,DB Make/Buy,Excel Parent BOM,DB BOM No,DB Cutting Size,DB Link ID,DB Link Count
MATCH,17223,NSCVR0001608,C1 Cover of NR 35 - d x 110 x 74,NRRBR0000118,NRRBR0000118,NORMAL,NORMAL,0,0,21,21,21,mm,mm,Round Bar EN9 120 MM,Round Bar EN9 120 MM,,PART,,I,B0013704,B0013704,19 mm,38029,1
MATCH,30392,NSCVR0001612,Cover of NB 8.sp2 (Roller Type) - d x 89 x 66.5,NRRBR0000103,NRRBR0000103,NORMAL,NORMAL,0,0,90,90,90,mm,mm,Round Bar EN9 100 MM,Round Bar EN9 100 MM,,PART,,I,B0013850,B0013850,88 mm,38031,1
MATCH,30464,NSCVR0001613,E3 Cover of NHBU 50.sp1 E3E5 - d x 145 x 94 x 120,NRRBR0000123,NRRBR0000123,NORMAL,NORMAL,0,0,55,55,55,mm,mm,Round Bar EN9 160 MM,Round Bar EN9 160 MM,,PART,,I,B0013815,B0013815,53 mm,38030,1
MATCH,30500,NSCVR0001614,End Cover of NHB 40 - d x 125 x 35,NRRBR0000107,NRRBR0000107,NORMAL,NORMAL,0,0,39,39,39,mm,mm,Round Bar EN9 130 MM,Round Bar EN9 130 MM,,PART,,I,B0013915,B0013915,37 mm,38035,1
MATCH,30626,NSCVR0001616,End Cover of NHBUFC 130.sp1 - d x 378 x 406,NSMCL0000088,NSMCL0000088,NORMAL,NORMAL,0,0,1,1,1,Nos.,Nos.,Ms Circle 323 x 35,Ms Circle 323 x 35,,PART,,I,B0014127,B0014127,,13474,1
MATCH,30629,NSCVR0001617,Cover of NHBUFC 130.sp1 - d x 378 x 406,NSMCL0000333,NSMCL0000333,NORMAL,NORMAL,0,0,1,1,1,mm,mm,"MS Circle OD 392 mm X ID 230 mm  X TL 125
 mm","MS Circle OD 392 mm X ID 230 mm  X TL 125
 mm",,PART,,I,B0014192,B0014192,,13477,1
MATCH,30754,NSCVR0001621,End Cover of NHB 50.sp8 - d x 150 x 60,NRRBR0000123,NRRBR0000123,NORMAL,NORMAL,0,0,30/31,30,30,mm,mm,Round Bar EN9 160 MM,Round Bar EN9 160 MM,,PART,,I,B0013912,B0013912,28 mm,20985,1
MATCH,30799,NSCVR0001622,C1 Cover of NR 55 C1C1 - d x 160 x 104,NRRBR0000306,NRRBR0000306,NORMAL,NORMAL,0,0,26/25,25,25,mm,mm,Round Bar EN9 170 mm,Round Bar EN9 170 mm,,PART,,I,B0013947,B0013947,23 mm,15693,1
MATCH,30826,NSCVR0001624,C1 Cover of NR 12 - d x 62 x 42,NRRBR0000105,NRRBR0000105,NORMAL,NORMAL,0,0,18,18,18,mm,mm,Round Bar EN9 70 MM,Round Bar EN9 70 MM,Round Bar EN9 70 MM,PART,CUTTING SIZE - 33 MM,I,B0014089,B0014089,16 mm,38037,1
MATCH,30855,NSCVR0001625,Cover of NRFC 40.sp2 - d x 155 x 163.5,NRRBR0000123,NRRBR0000123,NORMAL,NORMAL,0,0,55,55,55,mm,mm,Round Bar EN9 160 MM,Round Bar EN9 160 MM,,PART,,I,B0014191,B0014191,53 mm,38043,1
MATCH,30959,NSCVR0001626,C1 Cover of NR 150.sp2 C1C2 - d x 410 x 282,NRRBR0000128,NRRBR0000128,NORMAL,NORMAL,0,0,38,38,38,mm,mm,Round Bar EN9 200 MM,Round Bar EN9 200 MM,,PART,,I,B0014328,B0014328,36 mm,38051,1
MATCH,30960,NSCVR0001627,C2 Lever of NR 150.sp2 C1C2 - d x 410 x 282,NSMPL0000606,NSMPL0000606,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Plate 570 X 435 X 75,MS Plate 570 X 435 X 75,,PART,,I,B0014160,B0014160,,38040,1
MATCH,30975,NSCVR0001630,C2 Lever of NR 130.sp4 C1C2 - d x 410 x 190,NSMPL0000606,NSMPL0000606,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Plate 570 X 435 X 75,MS Plate 570 X 435 X 75,,PART,,I,B0014159,B0014159,,38039,1
MATCH,30994,NSCVR0001631,C2 Lever of NR 30.sp1 C1C2 - d x 100 x 68,NRRBR0000130,NRRBR0000130,NORMAL,NORMAL,0,0,1,1,1,mm,mm,Round Bar EN9 220 MM,Round Bar EN9 220 MM,,PART,CUTTING SIZE - 117mm,I,B0014101,B0014101,,38038,1
MATCH,31195,NSCVR0001635,End Cover of NRHD 1700 (M344) - d x 920 x 505,NSMPL0000616,NSMPL0000616,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Plate 1116 X 946 X 102,MS Plate 1116 X 946 X 102,,PART,,I,B0014343,B0014343,,38055,1
MATCH,31196,NSCVR0001636,Laybrinth Cover of NRHD 1700 (M344) - d x 920 x 505,NRRBR0000129,NRRBR0000129,NORMAL,NORMAL,0,0,1,1,1,mm,mm,Round Bar EN9 230 MM,Round Bar EN9 230 MM,,PART,,I,B0014677,B0014677,,38082,1
MATCH,31210,NSCVR0001638,E1 Cover of NHBU 80.sp3 E1E2 - d x 220 x 140,NSMCL0000053,NSMCL0000053,NORMAL,NORMAL,0,0,1,1,1,mm,mm,MS Circle 230 X 25,MS Circle 230 X 25,,PART,,I,B0014211,B0014211,,38044,1
MATCH,31211,NSCVR0001639,E2 Lever of NHBU 80.sp3 E1E2 - d x 220 x 140,NSMPL0000607,NSMPL0000607,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Plate 478 X 319 X 45,MS Plate 478 X 319 X 45,,PART,,I,B0014161,B0014161,,38041,1
MATCH,31354,NSCVR0001642,C1 Cover of NR 90.s C1C1 - d x 230 x 176,NSMCL0000004,NSMCL0000004,NORMAL,NORMAL,0,0,1,1,1,mm,mm,MS Circle 243 X 25,MS Circle 243 X 25,,PART,,I,B0014440,B0014440,,38059,1
MATCH,31390,NSCVR0001643,E1 Cover of NHBU 130.sp1 E1E8E9 - d x 310 x 476,NSMPL0000436,NSMPL0000436,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS  Plate 125 X 100 X 16,MS  Plate 125 X 100 X 16,,PART,,I,B0014391,B0014391,,13867,1
MATCH,31406,NSCVR0001645,E2 Lever of NHBU 100.sp4 E1E2 - d x 270 x 155,NSMPL0000205,NSMPL0000205,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Plate 405x295x30,MS Plate 405x295x30,,PART,,I,B0014238,B0014238,,38047,1
MATCH,31425,NSCVR0001646,E1 Cover of NHBU 90.sp4 E1E2 - d x 245 x 170,NSMCL0000196,NSMCL0000196,NORMAL,NORMAL,0,0,1,1,1,Nos.,Nos.,Ms Circle 345 x 25,Ms Circle 345 x 25,,PART,,I,B0014441,B0014441,,38060,1
MATCH,31426,NSCVR0001647,E2 Lever of NHBU 90.sp4 E1E2 - d x 245 x 170,NSMPL0000614,NSMPL0000614,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Plate 643 X 270 X 38,MS Plate 643 X 270 X 38,,PART,,I,B0014237,B0014237,,38046,1
MATCH,31444,NSCVR0001648,E1 Cover of NHBU 80.sp2 E1E2 - d x 210 x 135,NRRBR0000130,NRRBR0000130,NORMAL,NORMAL,0,0,28,28,28,mm,mm,Round Bar EN9 220 MM,Round Bar EN9 220 MM,,PART,CUTTING SIZE - 117mm,I,B0014190,B0014190,26 mm,38042,1
MATCH,31445,NSCVR0001649,E2 Lever of NHBU 80.sp2 E1E2 - d x 210 x 135,NSMPL0000178,NSMPL0000178,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Plate 315 x 235 x 32,MS Plate 315 x 235 x 32,,PART,,I,B0014239,B0014239,,38048,1
MATCH,31556,NSCVR0001652,C1 Cover of NR 210.sp2 C1C2 - d x 500 x 165,NSMCL0000349,NSMCL0000349,NORMAL,NORMAL,0,0,1,1,1,mm,mm,"MS Circle OD 513 mm X ID 270 mm X TL 60
 mm","MS Circle OD 513 mm X ID 270 mm X TL 60
 mm",,PART,,I,B0014521,B0014521,,38070,1
MATCH,31557,NSCVR0001653,C2 Lever of NR 210.sp2 C1C2 - d x 500 x 165,NSMPL0000617,NSMPL0000617,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Plate 655 X 525 X 70,MS Plate 655 X 525 X 70,,PART,,I,B0014289,B0014289,,38050,1
MATCH,31644,NSCVR0001654,End Cover of NHR 50.sp1 - d x 150 x 60 x 60,NRRBR0000123,NRRBR0000123,NORMAL,NORMAL,0,0,50,50,50,mm,mm,Round Bar EN9 160 MM,Round Bar EN9 160 MM,,PART,,I,B0014274,B0014274,48 mm,38049,1
MATCH,31729,NSCVR0001655,C1 Cover of NR 220.sp1 C1C2 - d x 560 x 305,NSMCL0000347,NSMCL0000347,NORMAL,NORMAL,0,0,1,1,1,mm,mm,"MS Circle OD 575 mm X ID 300 mm X TL 50
 mm","MS Circle OD 575 mm X ID 300 mm X TL 50
 mm",,PART,,I,B0014560,B0014560,,38075,1
MATCH,31730,NSCVR0001656,C2 Lever of NR 220.sp1 C1C2 - d x 560 x 305,NSMPL0000622,NSMPL0000622,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Plate 790 X 585 X 75,MS Plate 790 X 585 X 75,,PART,,I,B0014480,B0014480,,38065,1
MATCH,31731,NSCVR0001657,Laybrinth Cover of NR 220.sp1 C1C2 - d x 560 x 305,NSMCL0000251,NSMCL0000251,NORMAL,NORMAL,0,0,1,1,1,mm,mm,"MS Circle OD 405 mm X ID 260 mm  X TL 19

 mm","MS Circle OD 405 mm X ID 260 mm  X TL 19

 mm",,PART,,I,B0014579,B0014579,,38077,1
