Status,Excel Row,Parent Code,Parent Description,Expected RM Code,Excel RM Code Cell,Expected Role,DB Role,Expected Alternate Flag,DB Alternate Flag,Excel Qty Raw,Expected Qty,DB Qty,Excel UOM,DB UOM,Excel RM Description,DB RM Description,DB items.material,DB RM Item Type,DB RM Size,DB Make/Buy,Excel Parent BOM,DB BOM No,DB Cutting Size,DB Link ID,DB Link Count
UOM_MISMATCH,5221,NAINR0000196,Inner Ring of N7032 - 35 x 60 x 28,NRRBR0000102,NRRBR0000102,NORMAL,NORMAL,0,0,34,34,34,mm,Kg.,RoundBar EN9 65 MM,RoundBar EN9 65 MM,RoundBar EN9 65 MM,PART,CUTTING SIZE - 23 MM,I,B0003085,B0003085,,23905,1
NORMAL_ALTERNATE_FLAG_MISMATCH,2972,NAINR0000204,Inner Ring of N7032 - 60 x 90 x 33,NRRBR0000101,NRRBR0000101,NORMAL,ALTERNATE,0,1,39,39,39,mm,mm,Round Bar EN9 95 MM,Round Bar EN9 95 MM,,PART,,I,B0001863,B0001863,37 mm,33513,1
RAW_MATERIAL_ITEM_MISSING,6163,NAINR0000223,Inner Ring of N7033 - 20 x 47 x 28,NRRBR0000100,NRRBR0000100,NORMAL,NORMAL,0,0,34,34,34,mm,mm,Round Bar EN9 60 MM,,,,,I,B0006205,B0006205,32 mm,25094,1
UOM_MISMATCH,16636,NAINR0000224,Inner Ring of N7033 - 22 x 47 x 28,NRRBR0000102,NRRBR0000102,NORMAL,NORMAL,0,0,34,34,34,mm,Kg.,RoundBar EN9 65 MM,RoundBar EN9 65 MM,RoundBar EN9 65 MM,PART,CUTTING SIZE - 23 MM,I,B0013391,B0013391,,26221,1
UOM_MISMATCH,229,NAINR0000225,Inner Ring of N7033 - 24 x 50 x 28,NRRBR0000102,NRRBR0000102,NORMAL,NORMAL,0,0,34,34,34,mm,Kg.,RoundBar EN9 65 MM,RoundBar EN9 65 MM,RoundBar EN9 65 MM,PART,CUTTING SIZE - 23 MM,I,B0000173,B0000173,,22070,1
RAW_MATERIAL_ITEM_MISSING,233,NAINR0000226,Inner Ring of N7033 - 25 x 50 x 28,NRRBR0000100,NRRBR0000100,NORMAL,NORMAL,0,0,34,34,34,mm,mm,Round Bar EN9 60 MM,,,,,I,B0000176,B0000176,32 mm,22078,1
NORMAL_ALTERNATE_FLAG_MISMATCH,6287,NAINR0000240,Inner Ring of N7033 - 70 x 110 x 40,NRRBR0000188,NRRBR0000188,NORMAL,ALTERNATE,0,1,46,46,46,mm,mm,Round Bar 4140 125 MM,Round Bar 4140 125 MM,,PART,CUTTING SIZE - 56mm,I,B0003612,B0003612,44 mm,34303,1
NORMAL_ALTERNATE_FLAG_MISMATCH,6169,NAINR0000242,Inner Ring of N7033 - 80 x 120 x 40,NRRBR0000198,NRRBR0000198,NORMAL,ALTERNATE,0,1,46,46,46,mm,mm,Round Bar 4140 130 MM,Round Bar 4140 130 MM,,PART,,I,B0003618,B0003618,44 mm,24087,1
NORMAL_ALTERNATE_FLAG_MISMATCH,20252,NAINR0000244,Inner Ring of N7033 - 90 x 130 x 40,NRRBR0000110,NRRBR0000110 / NRRBR0000228,ALTERNATE,NORMAL,1,0,46/45,46,46,mm,mm,Round Bar EN9 150 MM,Round Bar EN9 150 MM,,PART,,I,B0000909,,44 mm,35936,1
NORMAL_ALTERNATE_FLAG_MISMATCH,1481,NAINR0000244,Inner Ring of N7033 - 90 x 130 x 40,NRRBR0000228,NRRBR0000228,NORMAL,ALTERNATE,0,1,45,45,45,mm,mm,Round Bar EN19 145 MM,Round Bar EN19 145 MM,,PART,,I,B0000909,B0000909,43 mm,22614,1
