Decision,DB Link ID,Parent Code,RM Code,Current DB UOM,Excel UOM,DB Qty,DB Alternate,Remark
SAFE_TO_FIX,22390,NAOTR0000230,NRRBR0000102,Kg.,mm,26.000,1,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22424,NAINR0000138,NRRBR0000124,Kg.,mm,55.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22427,NCONS0000968,NRRBR0000124,Kg.,mm,119.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22433,NAINR0000045,NRRBR0000116,Kg.,mm,38.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22435,NCONS0000926,NRRBR0000116,Kg.,mm,115.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22437,NAOTR0000045,NRRBR0000116,Kg.,mm,31.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22439,NCONS0000927,NRRBR0000116,Kg.,mm,97.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22508,NCONS0000896,NRRBR0000102,Kg.,mm,78.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22545,NAINR0000734,NRRBR0000102,Kg.,mm,37.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22546,NAOTR0000074,NRRBR0000116,Kg.,mm,30.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22551,NAINR0000117,NRRBR0000102,Kg.,mm,31.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22552,NAOTR0000117,NRRBR0000102,Kg.,mm,31.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22563,NAINR0000894,NRRBR0000112,Kg.,mm,253.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22566,NAOTR0000852,NRRBR0000112,Kg.,mm,253.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22634,NCONS0000887,NRRBR0000116,Kg.,mm,71.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22641,NCONS0000956,NRRBR0000116,Kg.,mm,50.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22749,NCONS0000825,NRRBR0000102,Kg.,mm,77.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22857,NAINR0000046,NRRBR0000116,Kg.,mm,38.000,1,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22875,NAINR0000076,NRRBR0000102,Kg.,mm,38.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22876,NAOTR0000077,NRRBR0000116,Kg.,mm,32.000,1,Change UOM only: Kg. -> mm
SAFE_TO_FIX,22881,NAINR0000077,NRRBR0000102,Kg.,mm,38.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23004,NAINR0000195,NRRBR0000102,Kg.,mm,34.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23014,NCONS0000913,NRRBR0000116,Kg.,mm,63.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23050,NAINR0000114,NRRBR0000116,Kg.,mm,32.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23055,NAINR0000051,NRRBR0000102,Kg.,mm,38.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23076,NAINR0000751,NRRBR0000112,Kg.,mm,27.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23124,NAOTR0000441,NRRBR0000102,Kg.,mm,39.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23174,NAOTR0000449,NRRBR0000124,Kg.,mm,51.000,1,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23224,NAINR0000126,NRRBR0000116,Kg.,mm,45.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23225,NAOTR0000125,NRRBR0000116,Kg.,mm,34.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23234,NCONS0000893,NRRBR0000102,Kg.,mm,58.000,0,Change UOM only: Kg. -> mm
